"participant","prompt","stimulus","stimulus_voice","word_pair","variable_1","variable_2","vs","variable_same","v1_type","v2_type","v_types","v_types_shorthand","vm1","vm2","manipulation_matching","block","dimension","slider_response"
"exp96","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>cabin tagger</p>","cabintagger-p05-cc","p05","cabintagger","TRAP","TRAP","TRAPTRAP",TRUE,"Conservative","Conservative","ConservativeConservative","cc","TRAPConservative","TRAPConservative",TRUE,1,"age",0.592
"exp96","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>cabin party</p>","cabinparty-p01-cr","p01","cabinparty","TRAP","t","TRAPt",FALSE,"Conservative","Innovative","ConservativeInnovative","cr","TRAPConservative","tInnovative",FALSE,1,"age",0.881
"exp96","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>cabin party</p>","cabinparty-p08-ir","p08","cabinparty","TRAP","t","TRAPt",FALSE,"Innovative","Innovative","InnovativeInnovative","ir","TRAPInnovative","tInnovative",TRUE,1,"age",0.155
"exp96","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>bottom cotton</p>","bottomcotton-p04-sr","p04","bottomcotton","t","t","tt",TRUE,"Conservative","Innovative","ConservativeInnovative","sr","tConservative","tInnovative",FALSE,1,"age",0.628
"exp96","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>baggy bottom</p>","baggybottom-p07-is","p07","baggybottom","TRAP","t","TRAPt",FALSE,"Innovative","Conservative","InnovativeConservative","is","TRAPInnovative","tConservative",FALSE,1,"age",0.62
"exp96","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>dagger party</p>","daggerparty-p05-is","p05","daggerparty","TRAP","t","TRAPt",FALSE,"Innovative","Conservative","InnovativeConservative","is","TRAPInnovative","tConservative",FALSE,1,"age",0.617
"exp96","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>cabin party</p>","cabinparty-p04-is","p04","cabinparty","TRAP","t","TRAPt",FALSE,"Innovative","Conservative","InnovativeConservative","is","TRAPInnovative","tConservative",FALSE,1,"age",0.707
"exp96","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>cabin party</p>","cabinparty-p05-ir","p05","cabinparty","TRAP","t","TRAPt",FALSE,"Innovative","Innovative","InnovativeInnovative","ir","TRAPInnovative","tInnovative",TRUE,1,"age",0.707
"exp96","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>bottom cotton</p>","bottomcotton-p01-rs","p01","bottomcotton","t","t","tt",TRUE,"Innovative","Conservative","InnovativeConservative","rs","tInnovative","tConservative",FALSE,1,"age",0.766
"exp96","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>party button</p>","partybutton-p06-sr","p06","partybutton","t","t","tt",TRUE,"Conservative","Innovative","ConservativeInnovative","sr","tConservative","tInnovative",FALSE,1,"age",0.361
"exp96","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>cabin party</p>","cabinparty-p08-cr","p08","cabinparty","TRAP","t","TRAPt",FALSE,"Conservative","Innovative","ConservativeInnovative","cr","TRAPConservative","tInnovative",FALSE,1,"age",0.208
"exp96","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>cotton cabin</p>","cottoncabin-p07-rc","p07","cottoncabin","t","TRAP","tTRAP",FALSE,"Innovative","Conservative","InnovativeConservative","rc","tInnovative","TRAPConservative",FALSE,1,"age",0.549
"exp96","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>tagger cabin</p>","taggercabin-p01-cc","p01","taggercabin","TRAP","TRAP","TRAPTRAP",TRUE,"Conservative","Conservative","ConservativeConservative","cc","TRAPConservative","TRAPConservative",TRUE,1,"age",0.66
"exp96","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>dotty butter</p>","dottybutter-p07-ss","p07","dottybutter","t","t","tt",TRUE,"Conservative","Conservative","ConservativeConservative","ss","tConservative","tConservative",TRUE,1,"age",0.342
"exp96","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>bottom dagger</p>","bottomdagger-p08-sc","p08","bottomdagger","t","TRAP","tTRAP",FALSE,"Conservative","Conservative","ConservativeConservative","sc","tConservative","TRAPConservative",TRUE,1,"age",0.281
"exp96","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>party button</p>","partybutton-p04-rs","p04","partybutton","t","t","tt",TRUE,"Innovative","Conservative","InnovativeConservative","rs","tInnovative","tConservative",FALSE,1,"age",0.548
"exp96","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>bottom cabin</p>","bottomcabin-p08-ri","p08","bottomcabin","t","TRAP","tTRAP",FALSE,"Innovative","Innovative","InnovativeInnovative","ri","tInnovative","TRAPInnovative",TRUE,1,"age",0.325
"exp96","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>tagger cabin</p>","taggercabin-p04-ci","p04","taggercabin","TRAP","TRAP","TRAPTRAP",TRUE,"Conservative","Innovative","ConservativeInnovative","ci","TRAPConservative","TRAPInnovative",FALSE,1,"age",0.886
"exp96","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>dotty garter</p>","dottygarter-p05-ss","p05","dottygarter","t","t","tt",TRUE,"Conservative","Conservative","ConservativeConservative","ss","tConservative","tConservative",TRUE,1,"age",0.45
