"participant","stimulus","stimulus_voice","word_pair","variable_1","variable_2","vs","variable_same","v1_type","v2_type","v_types","v_types_shorthand","vm1","vm2","manipulation_matching","block","binary_response","dimension","binary_response_numeric"
"exp62","baggycotton-p05-ir","p05","baggycotton","TRAP","t","TRAPt",FALSE,"Innovative","Innovative","InnovativeInnovative","ir","TRAPInnovative","tInnovative",TRUE,2,"older","age",1
"exp62","dapperdagger-p06-ic","p06","dapperdagger","TRAP","TRAP","TRAPTRAP",TRUE,"Innovative","Conservative","InnovativeConservative","ic","TRAPInnovative","TRAPConservative",FALSE,2,"older","age",1
"exp62","bottombaggy-p07-ri","p07","bottombaggy","t","TRAP","tTRAP",FALSE,"Innovative","Innovative","InnovativeInnovative","ri","tInnovative","TRAPInnovative",TRUE,2,"older","age",1
"exp62","partycotton-p08-rs","p08","partycotton","t","t","tt",TRUE,"Innovative","Conservative","InnovativeConservative","rs","tInnovative","tConservative",FALSE,2,"younger","age",0
"exp62","cottoncabin-p05-sc","p05","cottoncabin","t","TRAP","tTRAP",FALSE,"Conservative","Conservative","ConservativeConservative","sc","tConservative","TRAPConservative",TRUE,2,"older","age",1
"exp62","baddercotton-p04-cr","p04","baddercotton","TRAP","t","TRAPt",FALSE,"Conservative","Innovative","ConservativeInnovative","cr","TRAPConservative","tInnovative",FALSE,2,"older","age",1
"exp62","dottygarter-p01-ss","p01","dottygarter","t","t","tt",TRUE,"Conservative","Conservative","ConservativeConservative","ss","tConservative","tConservative",TRUE,2,"older","age",1
"exp62","bottomcotton-p07-sr","p07","bottomcotton","t","t","tt",TRUE,"Conservative","Innovative","ConservativeInnovative","sr","tConservative","tInnovative",FALSE,2,"younger","age",0
"exp62","partycotton-p06-rr","p06","partycotton","t","t","tt",TRUE,"Innovative","Innovative","InnovativeInnovative","rr","tInnovative","tInnovative",TRUE,2,"younger","age",0
"exp62","dottydagger-p01-sc","p01","dottydagger","t","TRAP","tTRAP",FALSE,"Conservative","Conservative","ConservativeConservative","sc","tConservative","TRAPConservative",TRUE,2,"older","age",1
"exp62","cottoncabin-p04-rc","p04","cottoncabin","t","TRAP","tTRAP",FALSE,"Innovative","Conservative","InnovativeConservative","rc","tInnovative","TRAPConservative",FALSE,2,"younger","age",0
"exp62","bottomdagger-p08-rc","p08","bottomdagger","t","TRAP","tTRAP",FALSE,"Innovative","Conservative","InnovativeConservative","rc","tInnovative","TRAPConservative",FALSE,2,"younger","age",0
"exp62","cabinparty-p07-cr","p07","cabinparty","TRAP","t","TRAPt",FALSE,"Conservative","Innovative","ConservativeInnovative","cr","TRAPConservative","tInnovative",FALSE,2,"younger","age",0
"exp62","cottoncabin-p06-sc","p06","cottoncabin","t","TRAP","tTRAP",FALSE,"Conservative","Conservative","ConservativeConservative","sc","tConservative","TRAPConservative",TRUE,2,"younger","age",0
"exp62","badderdagger-p01-cc","p01","badderdagger","TRAP","TRAP","TRAPTRAP",TRUE,"Conservative","Conservative","ConservativeConservative","cc","TRAPConservative","TRAPConservative",TRUE,2,"older","age",1
"exp62","bottomcabin-p07-si","p07","bottomcabin","t","TRAP","tTRAP",FALSE,"Conservative","Innovative","ConservativeInnovative","si","tConservative","TRAPInnovative",FALSE,2,"younger","age",0
