"participant","stimulus","stimulus_voice","word_pair","variable_1","variable_2","vs","variable_same","v1_type","v2_type","v_types","v_types_shorthand","vm1","vm2","manipulation_matching","block","binary_response","dimension","binary_response_numeric"
"exp61","baggygarter-p01-cr","p01","baggygarter","TRAP","t","TRAPt",FALSE,"Conservative","Innovative","ConservativeInnovative","cr","TRAPConservative","tInnovative",FALSE,4,"strong NZ accent","accent",0
"exp61","bottomcabin-p07-si","p07","bottomcabin","t","TRAP","tTRAP",FALSE,"Conservative","Innovative","ConservativeInnovative","si","tConservative","TRAPInnovative",FALSE,4,"not strong NZ accent","accent",1
"exp61","cabindagger-p01-ii","p01","cabindagger","TRAP","TRAP","TRAPTRAP",TRUE,"Innovative","Innovative","InnovativeInnovative","ii","TRAPInnovative","TRAPInnovative",TRUE,4,"strong NZ accent","accent",0
"exp61","cabintagger-p04-ci","p04","cabintagger","TRAP","TRAP","TRAPTRAP",TRUE,"Conservative","Innovative","ConservativeInnovative","ci","TRAPConservative","TRAPInnovative",FALSE,4,"strong NZ accent","accent",0
"exp61","dottygarter-p01-rs","p01","dottygarter","t","t","tt",TRUE,"Innovative","Conservative","InnovativeConservative","rs","tInnovative","tConservative",FALSE,4,"strong NZ accent","accent",0
"exp61","dottycabin-p05-sc","p05","dottycabin","t","TRAP","tTRAP",FALSE,"Conservative","Conservative","ConservativeConservative","sc","tConservative","TRAPConservative",TRUE,4,"not strong NZ accent","accent",1
"exp61","dottydagger-p08-ri","p08","dottydagger","t","TRAP","tTRAP",FALSE,"Innovative","Innovative","InnovativeInnovative","ri","tInnovative","TRAPInnovative",TRUE,4,"strong NZ accent","accent",0
"exp61","dapperparty-p06-cs","p06","dapperparty","TRAP","t","TRAPt",FALSE,"Conservative","Conservative","ConservativeConservative","cs","TRAPConservative","tConservative",TRUE,4,"strong NZ accent","accent",0
"exp61","dottycabin-p01-ri","p01","dottycabin","t","TRAP","tTRAP",FALSE,"Innovative","Innovative","InnovativeInnovative","ri","tInnovative","TRAPInnovative",TRUE,4,"not strong NZ accent","accent",1
"exp61","dapperparty-p08-cr","p08","dapperparty","TRAP","t","TRAPt",FALSE,"Conservative","Innovative","ConservativeInnovative","cr","TRAPConservative","tInnovative",FALSE,4,"strong NZ accent","accent",0
"exp61","dapperdagger-p05-ci","p05","dapperdagger","TRAP","TRAP","TRAPTRAP",TRUE,"Conservative","Innovative","ConservativeInnovative","ci","TRAPConservative","TRAPInnovative",FALSE,4,"strong NZ accent","accent",0
"exp61","bottomcotton-p08-rr","p08","bottomcotton","t","t","tt",TRUE,"Innovative","Innovative","InnovativeInnovative","rr","tInnovative","tInnovative",TRUE,4,"not strong NZ accent","accent",1
"exp61","badderparty-p01-ir","p01","badderparty","TRAP","t","TRAPt",FALSE,"Innovative","Innovative","InnovativeInnovative","ir","TRAPInnovative","tInnovative",TRUE,4,"strong NZ accent","accent",0
"exp61","taggercabin-p07-ic","p07","taggercabin","TRAP","TRAP","TRAPTRAP",TRUE,"Innovative","Conservative","InnovativeConservative","ic","TRAPInnovative","TRAPConservative",FALSE,4,"strong NZ accent","accent",0
"exp61","taggercabin-p07-cc","p07","taggercabin","TRAP","TRAP","TRAPTRAP",TRUE,"Conservative","Conservative","ConservativeConservative","cc","TRAPConservative","TRAPConservative",TRUE,4,"strong NZ accent","accent",0
"exp61","dapperparty-p04-ir","p04","dapperparty","TRAP","t","TRAPt",FALSE,"Innovative","Innovative","InnovativeInnovative","ir","TRAPInnovative","tInnovative",TRUE,4,"not strong NZ accent","accent",1
"exp62","cabinparty-p06-cr","p06","cabinparty","TRAP","t","TRAPt",FALSE,"Conservative","Innovative","ConservativeInnovative","cr","TRAPConservative","tInnovative",FALSE,1,"less well educated","education",0
"exp62","dottygarter-p01-rs","p01","dottygarter","t","t","tt",TRUE,"Innovative","Conservative","InnovativeConservative","rs","tInnovative","tConservative",FALSE,1,"more well educated","education",1
"exp62","cottonbutton-p06-rr","p06","cottonbutton","t","t","tt",TRUE,"Innovative","Innovative","InnovativeInnovative","rr","tInnovative","tInnovative",TRUE,1,"more well educated","education",1
"exp62","bottomcotton-p05-rs","p05","bottomcotton","t","t","tt",TRUE,"Innovative","Conservative","InnovativeConservative","rs","tInnovative","tConservative",FALSE,1,"less well educated","education",0
"exp62","dottycabin-p08-sc","p08","dottycabin","t","TRAP","tTRAP",FALSE,"Conservative","Conservative","ConservativeConservative","sc","tConservative","TRAPConservative",TRUE,1,"more well educated","education",1
"exp62","bottomdagger-p06-rc","p06","bottomdagger","t","TRAP","tTRAP",FALSE,"Innovative","Conservative","InnovativeConservative","rc","tInnovative","TRAPConservative",FALSE,1,"less well educated","education",0
"exp62","baggycotton-p04-is","p04","baggycotton","TRAP","t","TRAPt",FALSE,"Innovative","Conservative","InnovativeConservative","is","TRAPInnovative","tConservative",FALSE,1,"less well educated","education",0
"exp62","bottomcotton-p08-sr","p08","bottomcotton","t","t","tt",TRUE,"Conservative","Innovative","ConservativeInnovative","sr","tConservative","tInnovative",FALSE,1,"more well educated","education",1
"exp62","cabintagger-p04-ii","p04","cabintagger","TRAP","TRAP","TRAPTRAP",TRUE,"Innovative","Innovative","InnovativeInnovative","ii","TRAPInnovative","TRAPInnovative",TRUE,1,"less well educated","education",0
"exp62","cabindagger-p05-cc","p05","cabindagger","TRAP","TRAP","TRAPTRAP",TRUE,"Conservative","Conservative","ConservativeConservative","cc","TRAPConservative","TRAPConservative",TRUE,1,"less well educated","education",0
