Filename,Mean_F0_(Hz),experiment
p_01-20240522-1119-55.wav,86.46,vowel_and_t
p_01-20240522-1119-56.wav,80.53,vowel_and_t
p_01-20240522-1119-57.wav,127.45,vowel_and_t
p_01-20240522-1119-58.wav,121.81,vowel_and_t
p_01-20240522-1119-59.wav,84.86,vowel_and_t
p_01-20240522-1119-60.wav,77.06,vowel_and_t
p_01-20240522-1119-61.wav,81.3,vowel_and_t
p_01-20240522-1119-62.wav,89.22,vowel_and_t
p_01-20240522-1119-63.wav,89,vowel_and_t
p_01-20240522-1119-64.wav,82.48,vowel_and_t
p_01-20240522-1119-65.wav,80.63,vowel_and_t
p_01-20240522-1119-66.wav,92.78,vowel_and_t
p_01-20240522-1119-67.wav,81.25,vowel_and_t
p_01-20240522-1119-68.wav,79.64,vowel_and_t
p_01-20240522-1119-69.wav,87.21,vowel_and_t
p_01-20240522-1119-70.wav,79.59,vowel_and_t
p_01-20240522-1119-71.wav,81.55,vowel_and_t
p_01-20240522-1119-72.wav,79.67,vowel_and_t
p_01-20240522-1119-73.wav,86.01,vowel_and_t
p_01-20240522-1119-74.wav,91.45,vowel_and_t
p_01-20240522-1119-75.wav,100.52,vowel_and_t
p_01-20240522-1119-76.wav,83.28,vowel_and_t
p_01-20240522-1119-77.wav,79.5,vowel_and_t
p_01-20240522-1119-78.wav,90.55,vowel_and_t
p_01-20240522-1119-79.wav,81.65,vowel_and_t
p_01-20240522-1119-80.wav,110.01,vowel_and_t
p_01-20240522-1119-81.wav,99.94,vowel_and_t
p_01-20240522-1119-82.wav,85.6,vowel_and_t
p_01-20240522-1119-83.wav,101.5,vowel_and_t
p_01-20240522-1119-84.wav,88.37,vowel_and_t
p_01-20240522-1119-85.wav,77.32,vowel_and_t
p_01-20240522-1119-86.wav,120,vowel_and_t
p_01-20240522-1119-87.wav,84.94,vowel_and_t
p_01-20240522-1119-88.wav,83.65,vowel_and_t
p_01-20240522-1119-89.wav,107.25,vowel_and_t
p_01-20240522-1119-90.wav,82.36,vowel_and_t
p_01-20240522-1119-91.wav,80.63,vowel_and_t
p_04-20240603-1238-01.wav,138.91,vowels_only
p_04-20240603-1238-02.wav,111.59,vowels_only
p_04-20240603-1238-03.wav,99.09,vowels_only
p_04-20240603-1238-04.wav,102.13,vowels_only
p_04-20240603-1238-05.wav,109.7,vowels_only
p_04-20240603-1238-06.wav,182.83,vowels_only
p_04-20240603-1238-07.wav,98.02,vowels_only
p_04-20240603-1238-08.wav,139.85,vowels_only
p_04-20240603-1238-09.wav,104.58,vowels_only
p_04-20240603-1238-10.wav,188.26,vowels_only
p_04-20240603-1238-11.wav,255.16,vowels_only
p_04-20240603-1238-12.wav,209.43,vowels_only
p_04-20240603-1238-13.wav,99.14,vowels_only
p_04-20240603-1238-14.wav,102.64,vowels_only
p_04-20240603-1238-15.wav,97.63,vowels_only
p_04-20240603-1238-16.wav,99.21,vowels_only
p_04-20240603-1238-17.wav,104.16,vowels_only
p_04-20240603-1238-18.wav,100.9,vowels_only
p_04-20240603-1238-19.wav,100.62,vowels_only
p_04-20240603-1238-20.wav,121.33,vowels_only
p_04-20240603-1238-21.wav,98.79,vowels_only
p_04-20240603-1238-22.wav,95.08,vowels_only
p_04-20240603-1238-23.wav,99.88,vowels_only
p_04-20240603-1238-24.wav,101.38,vowels_only
p_04-20240603-1238-25.wav,98.8,vowels_only
p_04-20240603-1238-26.wav,148.4,vowels_only
p_04-20240603-1238-27.wav,116.04,vowels_only
p_04-20240603-1238-28.wav,97.45,vowels_only
p_04-20240603-1238-29.wav,150.14,vowels_only
p_04-20240603-1238-30.wav,113.22,vowels_only
p_04-20240603-1238-31.wav,153.08,vowels_only
p_04-20240603-1238-32.wav,310.24,vowels_only
p_04-20240603-1238-33.wav,190.83,vowels_only
p_04-20240603-1238-34.wav,104.59,vowels_only
p_04-20240603-1238-35.wav,252.09,vowels_only
p_04-20240603-1238-36.wav,167.74,vowels_only
p_04-20240603-1238-37.wav,99.6,vowels_only
p_04-20240603-1238-38.wav,109.43,vowels_only
p_04-20240603-1238-39.wav,105.59,vowels_only
p_04-20240603-1238-40.wav,113.17,vowels_only
p_04-20240603-1238-41.wav,122.82,vowels_only
p_04-20240603-1238-42.wav,98.15,vowels_only
p_04-20240603-1238-43.wav,110.59,vowels_only
p_04-20240603-1238-44.wav,113.08,vowels_only
p_04-20240603-1238-45.wav,108.67,vowels_only
p_04-20240603-1238-46.wav,126.09,vowels_only
p_04-20240603-1238-47.wav,116.72,vowels_only
p_04-20240603-1238-48.wav,179.53,vowels_only
p_04-20240603-1238-49.wav,116.66,vowels_only
p_04-20240603-1238-50.wav,109.55,vowels_only
p_04-20240603-1238-51.wav,104.22,vowels_only
p_04-20240603-1238-52.wav,117.97,vowels_only
p_04-20240603-1238-53.wav,123.11,vowels_only
p_04-20240603-1238-54.wav,105.22,vowels_only
p_04-20240603-1238-55.wav,103.69,vowels_only
p_04-20240603-1238-56.wav,106.18,vowels_only
p_04-20240603-1238-57.wav,119.01,vowels_only
p_04-20240603-1238-58.wav,113.1,vowels_only
p_04-20240603-1238-59.wav,111.45,vowels_only
p_04-20240603-1238-60.wav,103.32,vowels_only
p_04-20240603-1238-61.wav,111.77,vowels_only
p_04-20240603-1238-62.wav,122.46,vowels_only
p_04-20240603-1238-63.wav,118.21,vowels_only
p_04-20240603-1238-64.wav,143.17,vowels_only
p_04-20240603-1249-01.wav,104.57,vowel_and_t
p_04-20240603-1249-02.wav,99.19,vowel_and_t
p_04-20240603-1249-03.wav,102.24,vowel_and_t
p_04-20240603-1249-04.wav,97.97,vowel_and_t
p_04-20240603-1249-05.wav,106.01,vowel_and_t
p_04-20240603-1249-06.wav,108.87,vowel_and_t
p_04-20240603-1249-07.wav,105.1,vowel_and_t
p_04-20240603-1249-08.wav,106.87,vowel_and_t
p_04-20240603-1249-09.wav,102.79,vowel_and_t
p_04-20240603-1249-10.wav,101.58,vowel_and_t
p_04-20240603-1249-11.wav,102.52,vowel_and_t
p_04-20240603-1249-12.wav,101.09,vowel_and_t
p_04-20240603-1249-13.wav,102.26,vowel_and_t
p_04-20240603-1249-14.wav,162.51,vowel_and_t
p_04-20240603-1249-15.wav,106.58,vowel_and_t
p_04-20240603-1249-16.wav,95.76,vowel_and_t
p_04-20240603-1249-17.wav,104.51,vowel_and_t
p_04-20240603-1249-18.wav,95.13,vowel_and_t
p_04-20240603-1249-19.wav,92.41,vowel_and_t
p_04-20240603-1249-20.wav,94.44,vowel_and_t
p_04-20240603-1249-21.wav,95.11,vowel_and_t
p_04-20240603-1249-22.wav,95.19,vowel_and_t
p_04-20240603-1249-23.wav,94.46,vowel_and_t
p_04-20240603-1249-24.wav,104.02,vowel_and_t
p_04-20240603-1249-25.wav,98.09,vowel_and_t
p_04-20240603-1249-26.wav,95.29,vowel_and_t
p_04-20240603-1249-27.wav,100.12,vowel_and_t
p_04-20240603-1249-28.wav,120.49,vowel_and_t
p_04-20240603-1249-29.wav,105.79,vowel_and_t
p_04-20240603-1249-30.wav,96.86,vowel_and_t
p_04-20240603-1249-31.wav,95.94,vowel_and_t
p_04-20240603-1249-32.wav,126.4,vowel_and_t
p_04-20240603-1249-33.wav,101.68,vowel_and_t
p_04-20240603-1249-34.wav,95.15,vowel_and_t
p_04-20240603-1249-35.wav,96.75,vowel_and_t
p_04-20240603-1249-36.wav,98.29,vowel_and_t
p_04-20240603-1249-37.wav,96.72,vowel_and_t
p_04-20240603-1249-38.wav,93.06,vowel_and_t
p_04-20240603-1249-39.wav,96.86,vowel_and_t
p_04-20240603-1249-40.wav,99.14,vowel_and_t
p_04-20240603-1249-41.wav,95.1,vowel_and_t
p_04-20240603-1249-42.wav,101.6,vowel_and_t
p_04-20240603-1249-43.wav,106.59,vowel_and_t
p_04-20240603-1249-44.wav,98.67,vowel_and_t
p_04-20240603-1249-45.wav,104.85,vowel_and_t
p_04-20240603-1249-46.wav,108.38,vowel_and_t
p_04-20240603-1249-47.wav,100.67,vowel_and_t
